road_addr,building_x,building_y,entrance_x,entrance_y,floor_coun,building_c,x,y,near_r_x,near_r_y,near_rv_x,near_rv_y,dist_r_rv,reco_x,reco_y,reco_dist_m,reco_method
서울특별시 관악구 대학길 71,"950282.771096","1941070.666826","950275.938351","1941071.53852","2.0","1","950275.938351","1941071.53852","950271.025","1941071.893","950270.656","1941071.570","0.490",,,,
서울특별시 관악구 대학길 73,"950282.941762","1941060.72153","950275.366514","1941063.59744","4.0","1","950275.366514","1941063.59744","950270.452","1941063.952","950270.609","1941063.626","0.360",,,,
서울특별시 관악구 대학길 74,"950261.600906","1941062.212005","950264.195223","1941060.318782","6.0","1","950264.195223","1941060.318782","950270.159","1941059.889","950267.575","1941059.237","2.660",,,,
서울특별시 관악구 대학길 75,"950281.468852","1941050.187191","950274.593094","1941050.999124","2.0","1","950274.593094","1941050.999124","950269.544","1941051.363","950269.538","1941052.237","0.870",,,,
서울특별시 관악구 대학길 76,"950259.769091","1941052.111686","950263.846489","1941051.845714","2.0","1","950263.846489","1941051.845714","950269.549","1941051.434","950266.862","1941051.828","2.720",,,,
서울특별시 관악구 대학길 77,"950279.646412","1941039.486764","950274.715775","1941040.937139","4.0","1","950274.715775","1941040.937139","950268.822","1941041.362","950269.471","1941040.968","0.760",,,,
서울특별시 관악구 대학길 78,"950261.017693","1941045.989742","950262.913816","1941047.310304","2.0","1","950262.913816","1941047.310304","950269.219","1941046.855","950266.835","1941047.287","2.420",,,,
서울특별시 관악구 대학길 79,"950277.755818","1941028.301168","950275.142299","1941030.110824","2.0","1","950275.142299","1941030.110824","950268.096","1941030.554","950268.404","1941030.151","0.510",,,,
서울특별시 관악구 대학길 79-1,"950289.069297","1941026.274833","950284.693402","1941024.743211","3.0","1","950284.693402","1941024.743211","950267.797","1941025.807","950268.038","1941024.843","0.990",,,,
서울특별시 관악구 대학길 81,"950279.985041","1941014.63966","950277.566621","1941011.639716","4.0","1","950277.566621","1941011.639716","950266.947","1941012.308","950266.957","1941011.703","0.610",,,,
서울특별시 관악구 대학길 83,"950274.376116","1941005.86961","950274.170566","1941004.596262","1.0","1","950274.170566","1941004.596262","950266.492","1941005.080","950266.586","1941005.660","0.590",,,,
서울특별시 관악구 대학길 84,"950257.560357","1941013.055497","950260.324521","1941008.923994","5.0","1","950260.324521","1941008.923994","950266.709","1941008.522","950263.932","1941008.902","2.800",,,,
서울특별시 관악구 대학길 85,"950275.472635","1940999.549888","950271.119902","1940996.139494","1.0","2","950271.119902","1940996.139494","950265.950","1940996.465","950265.862","1940996.345","0.150",,,,
서울특별시 관악구 대학길 86,"950254.109796","1941000.149897","950254.835726","1941002.923409","3.0","1","950254.835726","1941002.923409","950244.608","1941008.044","950263.562","1941002.871","19.650",,,,
